review_id,content,dnn_score,bert_sentiment,qos_score,stream_quality,buffering_time
0,Get away with that UI. Uninsta...,1,Positive,1.0,High,Low
1,New layout is absolute rubbish...,1,Negative,0.7,Medium,Medium
2,Please revert to the previous ...,1,Positive,1.0,High,Low
3,Absolute hideous UI update sin...,1,Positive,1.0,High,Low
4,The UI is soooooo bad now...,1,Positive,1.0,High,Low
5,Went from poor execution of ok...,0,Negative,0.0,Low,High
6,The new ui is so bad that it m...,1,Positive,1.0,High,Low
7,There are a few chat bugs that...,0,Negative,0.0,Low,High
8,New app style is hideous...,1,Positive,1.0,High,Low
9,"I really hate tiktok, then you...",1,Negative,0.7,Medium,Medium
10,After 2024 july update app is ...,1,Negative,0.7,Medium,Medium
11,I absolutely HATE when develop...,0,Negative,0.0,Low,High
12,please remove live preview fro...,1,Negative,0.7,Medium,Medium
13,New UI is very bad....,1,Negative,0.7,Medium,Medium
14,Awesome app for watching strea...,1,Negative,0.7,Medium,Medium
15,The last update is the worst t...,0,Positive,0.3,Low,High
16,new ui is stupid why are we do...,1,Positive,1.0,High,Low
17,love it...,1,Positive,1.0,High,Low
18,"It still functions, but the ne...",0,Negative,0.0,Low,High
19,You just made the app worse. N...,1,Positive,1.0,High,Low
20,new ui changes have ruined the...,1,Negative,0.7,Medium,Medium
21,It wasn't great before. Even w...,0,Negative,0.0,Low,High
22,Used to be good till they stop...,0,Negative,0.0,Low,High
23,Recent update has made Vod wat...,0,Negative,0.0,Low,High
24,Cool 😎:)...,1,Positive,1.0,High,Low
25,The overall all experience is ...,0,Negative,0.0,Low,High
26,"terrible UI , they just keep r...",1,Negative,0.7,Medium,Medium
27,New layout is garbage please m...,1,Negative,0.7,Medium,Medium
28,Held together with actual stri...,0,Positive,0.3,Low,High
29,4 STARS BECAUSE TO MUCH ADS 🤢 ...,1,Positive,1.0,High,Low
30,Best streaming app...,1,Negative,0.7,Medium,Medium
31,Lol. The new ui. :D lol!...,1,Positive,1.0,High,Low
32,You need this stupid app to ch...,1,Negative,0.7,Medium,Medium
33,Mid...,1,Positive,1.0,High,Low
34,Caseoh big puffs...,1,Positive,1.0,High,Low
35,Easy to use and nice for looki...,1,Negative,0.7,Medium,Medium
36,Good app...,1,Positive,1.0,High,Low
37,Show me my subscriptions when ...,1,Negative,0.7,Medium,Medium
38,Twitch insists on doubling dow...,0,Negative,0.0,Low,High
39,It's mostly good but sometimes...,0,Positive,0.3,Low,High
40,Bro i can even log or sighn in...,1,Negative,0.7,Medium,Medium
41,Great...,1,Positive,1.0,High,Low
42,"Im just uninstall, its that go...",1,Positive,1.0,High,Low
43,Amazing app I just switched fr...,1,Positive,1.0,High,Low
44,Overall it's really a good app...,0,Negative,0.0,Low,High
45,"Had to uninstall, 9 ads in the...",1,Positive,1.0,High,Low
46,constantly crashes...,1,Positive,1.0,High,Low
47,Nice but update the pages when...,0,Negative,0.0,Low,High
48,Love this app 😍❤️...,1,Positive,1.0,High,Low
49,NEW UPDATE IS TRASH...,1,Positive,1.0,High,Low
50,Baffling guidelines with incon...,1,Positive,1.0,High,Low
51,nice in the mornings...,1,Positive,1.0,High,Low
52,I get to watch my crush stream...,1,Positive,1.0,High,Low
53,Fa schifo non riesco ad entrar...,1,Positive,1.0,High,Low
54,Worst app ever. Cant even let ...,0,Negative,0.0,Low,High
55,Why is everyone hateing i love...,1,Negative,0.7,Medium,Medium
56,New UI is unusable for me. 2 s...,1,Negative,0.7,Medium,Medium
57,Amazing dJS...,1,Positive,1.0,High,Low
58,Best live streaming apps I can...,1,Negative,0.7,Medium,Medium
59,PERFECT...,1,Positive,1.0,High,Low
60,Fun experience and it is fun t...,1,Negative,0.7,Medium,Medium
61,Ads have destroyed this platfo...,0,Negative,0.0,Low,High
62,This is the best live streamin...,1,Negative,0.7,Medium,Medium
63,pls bring back the old twitch ...,1,Negative,0.7,Medium,Medium
64,Team to get rid and He a im go...,0,Negative,0.0,Low,High
65,"it's ok ig, but when it's on C...",0,Negative,0.0,Low,High
66,Great...,1,Positive,1.0,High,Low
67,Good...,1,Positive,1.0,High,Low
68,Can't see my older streams fro...,1,Positive,1.0,High,Low
69,Great af...,1,Positive,1.0,High,Low
70,PRESIDENT TRUMP has a Twitch C...,0,Negative,0.0,Low,High
71,"Ads every minute 5,30 second a...",1,Negative,0.7,Medium,Medium
72,It is amazing to stream on...,1,Positive,1.0,High,Low
73,Overall best streaming service...,1,Positive,1.0,High,Low
74,LOVE IT...,1,Positive,1.0,High,Low
75,Great app...,1,Positive,1.0,High,Low
76,Love it...,1,Positive,1.0,High,Low
77,This is a good app recommend y...,1,Negative,0.7,Medium,Medium
78,Why didn't this app tell me a ...,1,Positive,1.0,High,Low
79,I can't follow people...,1,Positive,1.0,High,Low
80,Update was even worse for my d...,0,Negative,0.0,Low,High
81,Live......,1,Positive,1.0,High,Low
82,It's really nice and you can w...,1,Negative,0.7,Medium,Medium
83,extremely slow and missing a l...,1,Positive,1.0,High,Low
84,good obesity...,1,Positive,1.0,High,Low
85,Every week I need to update th...,0,Positive,0.3,Low,High
86,Great times with fun people. T...,1,Negative,0.7,Medium,Medium
87,The best to stream...,1,Positive,1.0,High,Low
88,👌...,1,Positive,1.0,High,Low
89,I haven't found more close mee...,1,Positive,1.0,High,Low
90,What the hell this is twitch n...,1,Positive,1.0,High,Low
91,Watching a stream on audio onl...,0,Positive,0.3,Low,High
92,Fantastic gaming aop...,1,Negative,0.7,Medium,Medium
93,I liked it but I only give it ...,0,Positive,0.3,Low,High
94,I love streaming very easy and...,0,Negative,0.0,Low,High
95,I am now entirely unable tolog...,0,Negative,0.0,Low,High
96,Why is it that after a ad the ...,0,Negative,0.0,Low,High
97,"Really enjoy twitch, very fun....",0,Negative,0.0,Low,High
98,There's a little bit of stream...,1,Positive,1.0,High,Low
99,Doesn't even send an OTP when ...,1,Positive,1.0,High,Low
